1618388960.900,1109,1,0000000000000000
1618388960.900,1109,2,0000000000000000
1618388960.901,71,1,2000000000000000
1618388960.902,71,2,2000000000000000
1618388960.902,936,1,0100274300000000
1618388960.903,936,2,0100274300000000
1618388960.906,359,2,727f5700001a2700
1618388960.904,359,1,727f5700001a2700
1618388960.907,534,1,6f16164756000000
1618388960.908,1045,2,1e381864083d083d
1618388960.909,71,2,2000000000000000
1618388960.908,71,1,2000000000000000
1618388960.910,2015,1,0201330000000000
1618388960.911,145,2,7e027f40591b1000
1618388960.911,130,1,6500142c62800000
1618388960.912,359,2,727f5800001a2800
1618388960.918,118,1,3e3d400071010000
1618388960.921,118,2,3e3d400071010000
1618388960.921,71,1,2000000000000000
1618388960.923,133,2,7c2200005b300102
1618388960.942,66,1,0000000000000000
1618388960.943,133,1,7c2200005b300102
1618388960.943,120,2,0068001000000000
1618388960.945,516,1,3f6f7d0772000000
1618388960.944,130,2,6500142862800000
1618388960.946,516,2,3f6f7d0772000000
1618388960.947,133,2,7c2200005d500102
1618388960.946,71,1,2000000000000000
1618388960.949,357,1,1040000000000000
1618388960.950,71,2,2000000000000000
1618388960.950,936,1,0100274100000000
1618388960.952,936,2,0100274100000000
1618388960.954,359,1,727f5500001a2a00
1618388960.955,534,1,4a335d0056000000
1618388960.955,359,2,727f5500001a2a00
1618388960.956,145,2,7e2b7f547d021000
1618388960.993,71,1,2000000000000000
1618388960.995,71,2,2000000000000000
1618388960.996,516,1,3f6f7c0770000000
1618388960.996,514,2,045a580060001e2d
1618388960.998,130,1,6400142863800000
1618388960.999,359,2,727f5300001a2900
1618388961.000,146,1,6f4f701f73736403
1618388961.003,118,2,3e3c400071010000
1618388961.005,131,1,0020800000000000
1618388961.006,133,2,7c22000061700102
1618388961.011,512,2,00007f4c7f560000
1618388961.011,66,1,0000000000000000
1618388961.013,133,1,7c22000061700102
1618388961.014,130,2,6400142862800000
1618388961.015,516,1,3f6f7d076b000000
1618388961.016,578,2,026c204622000001
1618388961.017,1126,1,7028440010704800
1618388961.018,1126,2,7028440010704800
1618388961.020,71,1,2000000000000000
1618388961.022,71,2,2000000000000000
1618388961.024,936,1,0100274300000000
1618388961.025,936,2,0100274300000000
1618388961.027,359,1,727f5400001a2a00
1618388961.042,359,2,727f5400001a2a00
1618388961.043,532,1,8000000000007450
1618388961.044,535,2,1734173c1718171c
1618388961.045,71,1,2000000000000000
1618388961.046,71,2,2000000000000000
1618388961.046,560,1,410600007e000000
1618388961.047,560,2,410600007e000000
1618388961.048,130,1,6400142862800000
1618388961.049,359,2,727f5300001a2a00
1618388961.050,118,1,3e3c400071010000
1618388961.050,118,2,3e3c400071010000
1618388961.052,71,1,2000000000000000
1618388961.053,133,2,7c21000068100102
1618388961.053,66,1,0000000000000000
1618388961.054,120,2,0168801000000000
1618388961.055,133,1,7c21000068100102
1618388961.055,130,2,6300142863800000
1618388961.057,118,1,3e3a400071010000
1618388961.092,118,2,3e3a400071010000
1618388961.094,1200,1,650080003000080f
1618388961.095,133,2,7c2100005a100102
1618388961.096,71,1,2000000000000000
1618388961.097,71,2,2000000000000000
1618388961.098,1069,1,00024c0000004000
1618388961.098,1072,2,3700764b407c575c
1618388961.099,359,1,727f5200001a2a00
1618388961.099,359,2,727f5200001a2a00
1618388961.100,532,1,8000000000007120
1618388961.100,535,2,1740174417281734
1618388961.101,131,1,0020800000000000
1618388961.103,131,2,0020800000000000
1618388961.104,145,2,7e3c7f5a533f1000
1618388961.105,130,1,6300142862800000
1618388961.105,359,2,727f5300001a2b00
1618388961.103,535,1,17441744172c173c
1618388961.108,118,1,3e3a400071010000
1618388961.118,119,2,1e5708297f080220
1618388961.120,145,1,7e2b7f5200000000
1618388961.120,133,2,7c2100005e500102
1618388961.122,133,1,7c2100005e500102
1618388961.121,120,2,0068001000000000
1618388961.120,66,1,0000000000000000
1618388961.124,130,2,6300142c62800000
1618388961.125,516,1,3f6f7d075e000000
1618388961.125,516,2,3f6f7d075e000000
1618388961.126,71,1,2000000000000000
1618388961.127,133,2,7c20000061700102
1618388961.130,357,1,1040000000000000
1618388961.130,71,2,2000000000000000
1618388961.131,75,1,0040282828284000
1618388961.131,146,2,6f6c702c73793853
1618388961.142,359,1,727f5200001a2b00
1618388961.143,359,2,727f5200001a2b00
1618388961.144,534,1,7309342b56000000
1618388961.145,145,2,7e2b7f4e1d581000
1618388961.147,71,1,2000000000000000
1618388961.148,71,2,2000000000000000
1618388961.149,1076,1,2718171a0f010030
1618388961.151,145,2,7e437f5a3c5d1000
1618388961.151,359,1,727f5200001a2b00
1618388961.152,359,2,727f5200001a2b00
1618388961.153,118,1,3e3a400071010000
1618388961.168,125,2,000003200020370b
1618388961.168,71,1,2000000000000000
1618388961.169,133,2,7c20000065500102
1618388961.171,66,1,0000000000000000
1618388961.175,130,1,6300142863800000
1618388961.174,359,2,727f5100001a2c00
1618388961.175,130,2,6300142863800000
1618388961.176,1068,1,7400000059400000
1618388961.177,1068,2,7400000059400000
1618388961.179,1109,1,0000000000000000
1618388961.180,1109,2,0000000000000000
1618388961.182,131,1,0020800000000000
1618388961.183,827,2,0000000000000000
1618388961.218,936,1,0100274400000000
1618388961.219,936,2,0100274400000000
1618388961.219,359,1,727f5000001a2c00
1618388961.220,359,2,727f5000001a2c00
1618388961.221,534,1,2b517b1e56000000
1618388961.221,145,2,7e7e7f4c54761000
1618388961.222,71,1,2000000000000000
1618388961.227,71,2,2000000000000000
1618388961.229,535,1,1764177017441760
